Harrow & Wealdstone,,
Kenton,,
South Kenton,,
North Wembley,,
Wembley Central,,
Stonebridge Park,,
Harlesden,,
Willesden Junction,,
Kensal Green,,
Queen's Park,,
Kilburn Park,,
Maida Vale,,
Warwick Avenue,,
Paddington,,
Edgware Road,,
Marylebone,,
Baker Street,,
Regent's Park,,
Oxford Circus,,
Piccadilly Circus,,
Charing Cross ,,
Embankment,,
Waterloo,,
Lambeth North,,
Elephant & Castle,,
Harrow & Wealdstone,Kenton,2
Kenton,South Kenton,2
South Kenton,North Wembley,2
North Wembley,Wembley Central,2
Wembley Central,Stonebridge Park,2
Stonebridge Park,Harlesden,2
Harlesden,Willesden Junction,2
Willesden Junction,Kensal Green,3
Kensal Green,Queen's Park,2
Queen's Park,Kilburn Park,2
Kilburn Park,Maida Vale,2
Maida Vale,Warwick Avenue,1
Warwick Avenue,Paddington,2
Paddington,Edgware Road,2
Edgware Road,Marylebone,1
Marylebone,Baker Street,2
Baker Street,Regent's Park,2
Regent's Park,Oxford Circus,2
Oxford Circus,Piccadilly Circus,2
Piccadilly Circus,Charing Cross ,2
Charing Cross ,Embankment,1
Embankment,Waterloo,2
Waterloo,Lambeth North,2
Lambeth North,Elephant & Castle,3
Epping ,,
Theydon Bois,,
Debden,,
Loughton ,,
Buckhurst Hill,,
Woodford,,
South Woodford,,
Snaresbrook ,,
Roding Valley,,
Chigwell,,
Grange Hill,,
Hainault,,
Fairlop,,
Barkingside,,
Newbury Park,,
Gants Hill,,
Redbridge,,
Wanstead,,
Leytonstone,,
Leyton,,
Stratford,,
Mile End,,
Bethnal Green,,
Liverpool Street,,
Bank,,
St. Paul's,,
Chancery Lane,,
Holborn,,
Tottenham,,
Oxford Circus,,
Bond Street,,
Marble Arch,,
Lancaster Gate,,
Queensway,,
Notting Hill Gate,,
Holland Park,,
Shepherd's Bush,,
White City,,
East Acton,,
North Acton,,
West Acton,,
Ealing Broadway,,
Hanger Lane ,,
Perivale,,
Greenford,,
Northolt ,,
South Ruislip,,
Ruislip Gardens,,
West Ruislip,,
Epping ,Theydon Bois,3
Theydon Bois,Debden,3
Debden,Loughton ,2
Loughton ,Buckhurst Hill,3
Buckhurst Hill,Woodford,2
Woodford,South Woodford,3
South Woodford,Snaresbrook ,2
Snaresbrook ,Leytonstone,2
Roding Valley,Woodford,4
Roding Valley,Chigwell,3
Chigwell,Grange Hill,2
Grange Hill,Hainault,5
Hainault,Fairlop,2
Fairlop,Barkingside,2
Barkingside,Newbury Park,2
Newbury Park,Gants Hill,3
Gants Hill,Redbridge,2
Redbridge,Wanstead,2
Wanstead,Leytonstone,2
Leytonstone,Leyton,2
Leyton,Stratford,3
Stratford,Mile End,4
Mile End,Bethnal Green,2
Bethnal Green,Liverpool Street,3
Liverpool Street,Bank,2
Bank,St. Paul's,2
St. Paul's,Chancery Lane,2
Chancery Lane,Holborn,1
Holborn,Tottenham,2
Tottenham,Oxford Circus,1
Oxford Circus,Bond Street,2
Bond Street,Marble Arch,2
Marble Arch,Lancaster Gate,3
Lancaster Gate,Queensway,2
Queensway,Notting Hill Gate,2
Notting Hill Gate,Holland Park,1
Holland Park,Shepherd's Bush,2
Shepherd's Bush,White City,3
White City,East Acton,3
East Acton,North Acton,2
North Acton,Hanger Lane ,3
North Acton,West Acton,2
West Acton,Ealing Broadway,3
Hanger Lane ,Perivale,3
Perivale,Greenford,2
Greenford,Northolt ,2
Northolt ,South Ruislip,3
South Ruislip,Ruislip Gardens,2
Ruislip Gardens,West Ruislip,2
Edgware Road ,,
Paddington,,
Bayswater,,
Notting Hill Gate,,
High Street Kensington,,
Gloucester Road,,
South Kensington,,
Sloane Square,,
Victoria,,
St. James's Park,,
Westminster,,
Embankment,,
Temple,,
Blackfriars,,
Mansion House,,
Cannon Street,,
Monument,,
Tower Hill,,
Aldgate,,
Liverpool Street,,
Moorgate,,
Barbican,,
Farringdon,,
King's Cross St. Pancras,,
Euston Square,,
Great Portland Street,,
Baker Street,,
Royal Oak ,,
Westbourne Park ,,
Ladbroke Grove ,,
Latimer Road ,,
Wood Lane ,,
Shepherd's Bush Market ,,
Goldhawk Road ,,
Hammersmith ,,
Edgware Road ,Paddington,3
Paddington,Bayswater,2
Bayswater,Notting Hill Gate,2
Notting Hill Gate,High Street Kensington,2
